Trace_Name,Status,Source_CSV,Source_Size_Bytes,Source_SHA256,Request_Count,Read_Request_Count,Write_Request_Count,IOPS,Bandwidth_Bytes_s,Device_Response_Time_us,End_to_End_Request_Delay_us,Submitted_Requests,Completed_Requests,Average_Request_Completion_Latency_us,SSD_Count,Stripe_Unit_LBA,SWANS_Zone_Size_LBA,SWANS_Epoch_Evaluations,SWANS_Normal_Epochs,SWANS_Redirect_Epochs,SWANS_Migration_Epochs,SWANS_Redirect_Operations,SWANS_Migration_Operations,SWANS_Migration_History_Count,SWANS_WAM_Host_Write_Sectors,SWANS_WAM_Migration_Write_Sectors,SWANS_WAM_Cumulative_Write_Sectors,Logical_RAID_Write_Amplification,Approx_Flash_Write_Amplification,Parsed_Epoch_Count,Parsed_Average_Mu_pp,Parsed_Max_Mu_pp,Parsed_Max_Mu_Time_ns,Parsed_Epochs_Mu_GE_5,Parsed_Epochs_Mu_GE_15,EOL_Triggered,First_EOL_SSD_ID,EOL_Time_ns,EOL_Bad_Block_Count,EOL_Effective_OP_Ratio,Bad_Block_Count,Current_Effective_OP_Ratio,Max_Block_Erase_Count,Total_Block_Erase_Count,Simulation_Elapsed_Seconds,Result_XML,Result_XML_Size_Bytes,Source_Revision,Executable_SHA256
prn0_proj0_compact,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\prn0_proj0_compact.csv,683893522,a8c8561449c72a7ef6b615faba6ed1a00ce58d2a4d1d854d9b7133bc95727483,9810410,1129861,8680549,16.220911,376954.952911,2042,2042,9810410,9810410,2034.860138,4,512,32768,15120,15120,0,0,0,0,0,398945921,0,398945921,1.000000,1.224242,15120,1.9990094298941785,4.929518,480000000000,0,0,false,-1,0,0,0.000000,0,0.200012,14,9254,182.375,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\prn0_proj0_compact.xml,27904945,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
prn0_prxy0_compact,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\prn0_prxy0_compact.csv,1244407960,f727a9cbb06174f6a4da948261578a6982511bcaf1d7ab8dc1af8e32b772f8f9,18104854,986004,17118850,29.935274,205819.398095,1585,1585,18104854,18104854,1580.108580,4,512,32768,15120,13977,1143,0,46,0,0,209217486,0,209217486,1.000000,2.035088,15120,3.6424499325396784,5.814987,56080000000000,1143,0,false,-1,0,0,0.000000,0,0.200012,13,26062,264.406,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\prn0_prxy0_compact.xml,27915256,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
prn0proj0_prxy0_compact,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\prn0proj0_prxy0_compact.csv,1560466742,749fbf0d84386a9e090916fe3aaa3130c537ced036f83867b64e10f39e476240,22329378,1513385,20815993,36.920256,477873.626698,1460,1460,22329378,22329378,1455.126258,4,512,32768,15120,14827,293,0,21,0,0,511767066,0,511767066,1.000000,1.486928,15120,2.9490771736772357,5.22293,34960000000000,293,0,false,-1,0,0,0.000000,0,0.200012,18,64740,362.281,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\prn0proj0_prxy0_compact.xml,27951729,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
prn_0,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\prn_0.csv,391525480,0e3dcaacf93de85a99d92edc17ca66ef8abcb3e6496384dbbf0d99a68fdbcfa5,5585886,602480,4983406,9.235923,104900.690794,2923,2923,5585886,5585886,2913.890317,4,512,32768,15120,15119,1,0,0,0,0,96396341,0,96396341,1.000000,1.593956,15120,2.9209470277116423,5.180748,480000000000,1,0,false,-1,0,0,0.000000,0,0.200012,13,3338,83.516,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\prn_0.xml,27856666,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
prn_0_compact2,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\prn_0_compact2.csv,391525480,c782632fc69906ddadd468ecdd304df4e52ab134cef462fe3b665c5273206771,5585886,602480,4983406,9.235923,104900.690794,2923,2923,5585886,5585886,2913.890317,4,512,32768,15120,15119,1,0,0,0,0,96396341,0,96396341,1.000000,1.593956,15120,2.9209470277116423,5.180748,480000000000,1,0,false,-1,0,0,0.000000,0,0.200012,13,3338,88.5,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\prn_0_compact2.xml,27856675,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
prn_0_original,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\prn_0_original.csv,291595716,2f07f991803abefe54dc52e1a93f35cf771b721830ef219dc682bdf9aae3ccad,5585886,602480,4983406,9.235923,104900.690794,2923,2923,5585886,5585886,2913.996846,4,512,32768,15120,15119,1,0,0,0,0,96396341,0,96396341,1.000000,1.593965,15120,2.9209470277116423,5.180748,480000000000,1,0,false,-1,0,0,0.000000,0,0.200012,13,3522,85.344,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\prn_0_original.xml,27856911,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
prn_1,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\prn_1.csv,597136927,db1dba179e02637d33112562bb639e18867db716a5aa9e377997867322aff3c7,11233411,8463801,2769610,18.573032,376602.843826,386,386,11233411,11233411,376.065272,4,512,32768,13475,13474,1,0,14,0,0,64560718,0,64560718,1.000000,1.420956,13475,1.2149893666048295,6.238778,40000000000,1,0,false,-1,0,0,0.000000,0,0.200012,1,65,177.016,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\prn_1.xml,24867431,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
prn_1_compact,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\prn_1_compact.csv,783461816,adf1d3a576ba03aa3329f7f3a72e26d133884bd40c52fd02485ad9bf1e97a8cd,11233411,8463801,2769610,18.573032,376602.843826,386,386,11233411,11233411,376.218893,4,512,32768,13475,13474,1,0,14,0,0,64560718,0,64560718,1.000000,1.420956,13475,1.214989366827464,6.238778,40000000000,1,0,false,-1,0,0,0.000000,0,0.200012,1,65,173.203,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\prn_1_compact.xml,24867440,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
proj0_prxy0_compact,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\proj0_prxy0_compact.csv,1171098285,c57fd5ef2ff35e5ac85dbe088db5381753914f8e701e3a96dad2951469ed9d0e,16743492,910905,15832587,27.684336,372972.970741,1003,1003,16743492,16743492,999.887385,4,512,32768,15120,7743,7377,0,230,0,0,415370725,0,415370725,1.000000,1.460669,15120,5.334341603240751,10.893397,282640000000000,7377,0,false,-1,0,0,0.000000,0,0.200012,11,36871,284.796,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\proj0_prxy0_compact.xml,27902695,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
proj_0,COMPLETED,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\Trace\MSRC_2\proj_0.csv,233038754,7cdb35cc889dff7950ab6e347a883a6c7ae967cf45c17cec3d7367b77f4aff78,4224524,527381,3697143,6.984991,272054.296954,895,895,4224524,4224524,891.003510,4,512,32768,15120,10882,4238,0,49,0,0,302549580,0,302549580,1.000000,1.106277,15120,3.342219958399474,9.021245,40000000000,4238,0,false,-1,0,0,0.000000,0,0.200012,10,1337,98.578,C:\Users\kevin\OneDrive\문서\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828\results\raw_xml\proj_0.xml,27850604,gun_swans_v1_epochlog,d97bfb3e62c0235eec70d87ea22c056dc7650f38b4da6c7fa28a851d925b794f
